Category: All categories

Week,greta thunberg: (Arizona),climate change: (Arizona)
2018-04-01,0,5
2018-04-08,0,7
2018-04-15,0,18
2018-04-22,0,5
2018-04-29,0,3
2018-05-06,0,11
2018-05-13,0,9
2018-05-20,0,6
2018-05-27,0,0
2018-06-03,0,4
2018-06-10,0,6
2018-06-17,0,3
2018-06-24,0,5
2018-07-01,0,1
2018-07-08,0,3
2018-07-15,0,1
2018-07-22,0,3
2018-07-29,0,9
2018-08-05,0,8
2018-08-12,0,5
2018-08-19,0,5
2018-08-26,0,7
2018-09-02,0,4
2018-09-09,0,9
2018-09-16,0,6
2018-09-23,0,3
2018-09-30,0,5
2018-10-07,0,22
2018-10-14,0,17
2018-10-21,0,11
2018-10-28,0,6
2018-11-04,0,5
2018-11-11,0,14
2018-11-18,0,7
2018-11-25,0,31
2018-12-02,2,14
2018-12-09,0,19
2018-12-16,0,6
2018-12-23,0,3
2018-12-30,0,4
2019-01-06,0,9
2019-01-13,0,4
2019-01-20,0,9
2019-01-27,0,8
2019-02-03,0,15
2019-02-10,0,7
2019-02-17,0,12
2019-02-24,0,10
2019-03-03,0,17
2019-03-10,0,8
2019-03-17,2,10
2019-03-24,0,12
2019-03-31,0,11
2019-04-07,0,16
2019-04-14,0,16
2019-04-21,2,18
2019-04-28,1,16
2019-05-05,0,16
2019-05-12,1,17
2019-05-19,0,13
2019-05-26,0,8
2019-06-02,0,7
2019-06-09,1,5
2019-06-16,0,10
2019-06-23,0,7
2019-06-30,0,8
2019-07-07,0,7
2019-07-14,0,2
2019-07-21,0,3
2019-07-28,0,9
2019-08-04,0,7
2019-08-11,5,9
2019-08-18,1,10
2019-08-25,4,21
2019-09-01,0,12
2019-09-08,1,14
2019-09-15,15,16
2019-09-22,100,35
2019-09-29,23,18
2019-10-06,5,7
2019-10-13,4,8
2019-10-20,3,20
2019-10-27,7,12
2019-11-03,4,12
2019-11-10,3,12
2019-11-17,9,20
2019-11-24,5,10
2019-12-01,8,16
2019-12-08,50,17
2019-12-15,27,13
2019-12-22,17,6
2019-12-29,7,4
2020-01-05,11,10
2020-01-12,6,13
2020-01-19,5,6
2020-01-26,2,12
2020-02-02,3,11
2020-02-09,2,9
2020-02-16,3,14
2020-02-23,7,16
2020-03-01,7,11
2020-03-08,2,5
2020-03-15,2,5
2020-03-22,4,7
2020-03-29,3,9
2020-04-05,2,3
2020-04-12,2,7
2020-04-19,2,10
2020-04-26,2,11
2020-05-03,1,10
2020-05-10,7,4
2020-05-17,2,4
2020-05-24,2,5
2020-05-31,1,3
2020-06-07,2,3
2020-06-14,1,4
2020-06-21,0,4
2020-06-28,2,5
2020-07-05,1,5
