Category: All categories

Week,greta thunberg: (Alaska),climate change: (Alaska)
2019-07-14,8,15
2019-07-21,8,0
2019-07-28,0,0
2019-08-04,0,0
2019-08-11,8,23
2019-08-18,0,15
2019-08-25,0,22
2019-09-01,0,15
2019-09-08,0,45
2019-09-15,0,7
2019-09-22,100,69
2019-09-29,15,30
2019-10-06,31,8
2019-10-13,0,47
2019-10-20,16,39
2019-10-27,8,8
2019-11-03,6,18
2019-11-10,0,14
2019-11-17,0,8
2019-11-24,0,0
2019-12-01,8,8
2019-12-08,82,0
2019-12-15,57,16
2019-12-22,0,0
2019-12-29,8,17
2020-01-05,0,32
2020-01-12,8,8
2020-01-19,0,8
2020-01-26,8,15
2020-02-02,8,16
2020-02-09,0,15
2020-02-16,8,8
2020-02-23,15,8
2020-03-01,22,15
2020-03-08,7,0
2020-03-15,0,7
2020-03-22,0,7
2020-03-29,13,13
2020-04-05,0,0
2020-04-12,0,13
2020-04-19,0,6
2020-04-26,0,13
2020-05-03,0,7
2020-05-10,14,7
2020-05-17,7,7
2020-05-24,0,0
2020-05-31,0,7
2020-06-07,0,7
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,0
2020-07-05,0,0
